Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
0,303.05277901852827,45.45488411813929,0.00830078125,0.013671875,0.0029296875,2584,0.00034266590603892745,36,0.00034266590603892745,0,0.00034266590603892745,0.00034266590603892745,1:0.002289860918680303,1:68,1:0.002301310401090134,0.00830078125,Yes
1,223.8575151201168,161.4128827865347,0.00390625,0.00732421875,0.00048828125,2584,0.00021184947350819433,36,0.00021184947350819433,0,0.00021184947350819433,0.00021184947350819433,2:0.0010186995980591418;0:0.002289860918680303,2:68;0:68,2:0.001398934872438945;0:0.002301310401090134,0.00390625,Yes
2,265.7295194275357,362.55051852311817,0.007080078125,0.013671875,0.00048828125,2584,0.0001578137443584551,36,0.0001578137443584551,0,0.0001578137443584551,0.0001578137443584551,1:0.0010186995980591418;3:0.0018817079957370864,1:68;3:68,1:0.001398934872438945;3:0.0014314338510355296,0.007080078125,Yes
3,357.63588335778707,342.58773238034684,0.007080078125,0.00927734375,0.0048828125,2584,0.00011157903154378246,36,0.00011157903154378246,0,0.00011157903154378246,0.00011157903154378246,16:0.0029222416796288175;2:0.0018817079957370864;4:0.002593713559554095,16:68;2:68;4:80,16:0.0024165935283120554;2:0.0014314338510355296;4:0.0022461312851842496,0.007080078125,Yes
4,103.80006308496809,67.98438134057652,0.01171875,0.01806640625,0.00537109375,2584,0.00038687069587823577,36,0.00038687069587823577,0,0.00038687069587823577,0.00038687069587823577,3:0.002593713559554095;5:0.002068720035474203,3:80;5:68,3:0.0022461312851842496;5:0.003774382957023037,0.01171875,Yes
5,235.65606342023062,124.52938824284449,0.00390625,0.00390625,0.00390625,2584,0.0003658292596406531,36,0.0003658292596406531,0,0.0003658292596406531,0.0003658292596406531,6:0.0017597647543519945;4:0.002068720035474203,6:68;4:68,6:0.0036769266966101;4:0.003774382957023037,0.00390625,Yes
6,308.4735748159445,269.0019317383066,0.00634765625,0.00439453125,0.00830078125,2584,0.00018024405536617267,36,0.00018024405536617267,0,0.00018024405536617267,0.00018024405536617267,5:0.0017597647543519945;7:0.001477488117166137,5:68;7:68,5:0.0036769266966101;7:0.0018123886461344219,0.00634765625,Yes
7,335.1824804767818,113.948558377262,0.008544921875,0.01416015625,0.0029296875,2584,0.00026386542983345546,36,0.00026386542983345546,0,0.00026386542983345546,0.00026386542983345546,17:0.0017200078790162998;6:0.001477488117166137;8:0.0037276633672681525,17:68;6:68;8:80,17:0.0018393861765479969;6:0.0018123886461344219;8:0.002497409353031693,0.008544921875,Yes
8,100.39801052111245,57.100630100445855,0.009033203125,0.01708984375,0.0009765625,2584,0.00044091963403800576,36,0.00044091963403800576,0,0.00044091963403800576,0.00044091963403800576,9:0.0029581619180346908;7:0.0037276633672681525,9:68;7:80,9:0.0023930189244100453;7:0.002497409353031693,0.009033203125,Yes
9,178.42496410394097,178.9236920460331,0.146484375,0.08154296875,0.21142578125,2584,0.0003778166230086667,36,0.0003778166230086667,0,0.0003778166230086667,0.0003778166230086667,8:0.0029581619180346908;10:0.001119713041753928,8:68;10:68,8:0.0023930189244100453;10:0.0013863224252118334,0.146484375,Yes
10,296.997736297539,195.49518968759884,0.004638671875,0.00732421875,0.001953125,2584,0.00021458544137355044,36,0.00021458544137355044,0,0.00021458544137355044,0.00021458544137355044,9:0.001119713041753928;11:0.0025576209706537623,9:68;11:68,9:0.0013863224252118334;11:0.001992714994305006,0.004638671875,Yes
11,123.72481898871428,134.0133615721327,0.011474609375,0.01611328125,0.0068359375,2584,0.0009351155959962162,36,0.0009351155959962162,0,0.0009351155959962162,0.0009351155959962162,18:0.0024548110327028694;10:0.0025576209706537623;12:0.001841073909109453,18:68;10:68;12:68,18:0.0024236072019334365;10:0.001992714994305006;12:0.002179064575469042,0.011474609375,Yes
12,272.45160431683735,170.05959782221117,0.0048828125,0.005859375,0.00390625,2584,0.0002721217257839051,36,0.0002721217257839051,0,0.0002721217257839051,0.0002721217257839051,13:0.0029427187169885627;11:0.001841073909109453,13:80;11:68,13:0.0027976372167211605;11:0.002179064575469042,0.0048828125,Yes
13,130.73973296119044,113.23922381405102,0.00537109375,0.0087890625,0.001953125,2584,0.0002524877103822506,36,0.0002524877103822506,0,0.0002524877103822506,0.0002524877103822506,12:0.0029427187169885627;14:0.0015925905927079431,12:80;14:80,12:0.0027976372167211605;14:0.001792087235002987,0.00537109375,Yes
14,344.27990279618274,149.74245815140264,0.00439453125,0.00634765625,0.00244140625,2584,0.000562694115845717,36,0.000562694115845717,0,0.000562694115845717,0.000562694115845717,15:0.00196385040424929;13:0.0015925905927079431,15:68;13:80,15:0.001121772947418137;13:0.001792087235002987,0.00439453125,Yes
15,459.9269075398748,30.277995856407863,0.003662109375,0.00439453125,0.0029296875,2584,0.00028012046807744775,36,0.00028012046807744775,0,0.00028012046807744775,0.00028012046807744775,14:0.00196385040424929;19:0.0018392732399157008,14:68;19:68,14:0.001121772947418137;19:0.0011608487833318082,0.003662109375,Yes
16,150.16244358607526,107.40414048957878,0.046142578125,0.03271484375,0.0595703125,2584,0.0004375434541291074,36,0.0004375434541291074,0,0.0004375434541291074,0.0004375434541291074,23:0.005142270246785596;3:0.0029222416796288175,23:68;3:68,23:0.0026680575454099964;3:0.0024165935283120554,0.046142578125,Yes
17,252.12529315502425,8.37649863845478,0.0087890625,0.0146484375,0.0029296875,2584,0.0003690895130610658,36,0.0003690895130610658,0,0.0003690895130610658,0.0003690895130610658,7:0.0017200078790162998;27:0.0019217781258525635,7:68;27:68,7:0.0018393861765479969;27:0.0019993459403052083,0.0087890625,Yes
18,84.91153776287433,73.4087060135184,0.01220703125,0.02392578125,0.00048828125,2584,0.0003212520955736035,36,0.0003212520955736035,0,0.0003212520955736035,0.0003212520955736035,11:0.0024548110327028694;31:0.002498753506527285,11:68;31:68,11:0.0024236072019334365;31:0.004270163536363947,0.01220703125,Yes
19,162.86012668635541,58.70963351332922,0.00439453125,0.00732421875,0.00146484375,2584,0.00022850907147730672,36,0.00022850907147730672,0,0.00022850907147730672,0.00022850907147730672,35:0.001232572964628087;15:0.0018392732399157008,35:80;15:68,35:0.0016324579113472237;15:0.0011608487833318082,0.00439453125,Yes
20,138.08096033824947,167.59851263280592,0.0654296875,0.048828125,0.08203125,2584,0.0005722515302140103,36,0.0005722515302140103,0,0.0005722515302140103,0.0005722515302140103,21:0.004018082040099874,21:68,21:0.005934304358566372,0.0654296875,Yes
21,242.1720570263774,170.25053074510345,0.00390625,0.0078125,0,2584,0.0003212007785243611,36,0.0003212007785243611,0,0.0003212007785243611,0.0003212007785243611,36:0.003875796997133113;20:0.004018082040099874;22:0.002409358785155663,36:68;20:68;22:68,36:0.006291144341211946;20:0.005934304358566372;22:0.0048684906366369685,0.00390625,Yes
22,252.67922756783298,38.524399870537394,0.00830078125,0.0078125,0.0087890625,2584,0.000505951327169337,36,0.000505951327169337,0,0.000505951327169337,0.000505951327169337,23:0.0022816195916438298;21:0.002409358785155663,23:68;21:68,23:0.0019422306276058454;21:0.0048684906366369685,0.00830078125,Yes
23,239.46749569726686,170.10482799685252,0.02978515625,0.037109375,0.0224609375,2584,0.0004851896213226883,36,0.0004851896213226883,0,0.0004851896213226883,0.0004851896213226883,22:0.0022816195916438298;24:0.003686678619925221;16:0.005142270246785596,22:68;24:68;16:68,22:0.0019422306276058454;24:0.004017783527151764;16:0.0026680575454099964,0.02978515625,Yes
24,113.79000095817366,4.51586583406292,0.0478515625,0.095703125,0,2584,0.0003651380927445244,36,0.0003651380927445244,0,0.0003651380927445244,0.0003651380927445244,23:0.003686678619925221;25:0.004721835499743393,23:68;25:68,23:0.004017783527151764;25:0.004867444954677946,0.0478515625,Yes
25,157.39055281509917,51.62527249456571,0.0185546875,0.01708984375,0.02001953125,2584,0.0003589038589291252,36,0.0003589038589291252,0,0.0003589038589291252,0.0003589038589291252,24:0.004721835499743393;26:0.022234873856792486;37:0.00454666162433634,24:68;26:68;37:68,24:0.004867444954677946;26:0.015044530382406995;37:0.003389406533251066,0.0185546875,Yes
26,7.008670135958192,7.194116729387575,0.04736328125,0.06689453125,0.02783203125,2584,0.0030051389631071583,36,0.0030051389631071583,0,0.0030051389631071583,0.0030051389631071583,25:0.022234873856792486;27:0.009802619289332515,25:68;27:68,25:0.015044530382406995;27:0.013477965060231106,0.04736328125,Yes
27,157.19706098383952,174.43493141484385,0.0078125,0.009765625,0.005859375,2584,0.00021395397219837027,36,0.00021395397219837027,0,0.00021395397219837027,0.00021395397219837027,26:0.009802619289332515;28:0.0017382622067735887;17:0.0019217781258525635,26:68;28:68;17:68,26:0.013477965060231106;28:0.0017879679360993384;17:0.0019993459403052083,0.0078125,Yes
