,,,,,,
,orbital_number,occupancy,energy_hartree,,,
,0,1.00,-20.282424,,,
,1,1.00,-20.233617,,,
,2,1.00,-20.212365,,,
,3,1.00,-20.191948,,,
,4,1.00,-20.181222,,,
,5,1.00,-15.379982,,,
,6,1.00,-15.364177,,,
,7,1.00,-15.336752,,,
,8,1.00,-15.322648,,,
,9,1.00,-11.178311,,,
,10,1.00,-11.156151,,,
,11,1.00,-11.130282,,,
,12,1.00,-11.119611,,,
,13,1.00,-11.113923,,,
,14,1.00,-11.107775,,,
,15,1.00,-11.104975,,,
,16,1.00,-11.099954,,,
,17,1.00,-11.081263,,,
,18,1.00,-11.074901,,,
,19,1.00,-11.072037,,,
,20,1.00,-11.070093,,,
,21,1.00,-11.069697,,,
,22,1.00,-11.068469,,,
,23,1.00,-11.058624,,,
,24,1.00,-11.052248,,,
,25,1.00,-11.050309,,,
,26,1.00,-11.049379,,,
,27,1.00,-11.048295,,,
,28,1.00,-11.047084,,,
,29,1.00,-11.044491,,,
,30,1.00,-11.040704,,,
,31,1.00,-11.039797,,,
,32,1.00,-11.038032,,,
,33,1.00,-11.037559,,,
,34,1.00,-11.034542,,,
,35,1.00,-11.033707,,,
,36,1.00,-11.028300,,,
,37,1.00,-11.026817,,,
,38,1.00,-11.026641,,,
,39,1.00,-11.026213,,,
,40,1.00,-11.025268,,,
,41,1.00,-1.343567,,,
,42,1.00,-1.311760,,,
,43,1.00,-1.306739,,,
,44,1.00,-1.298162,,,
,45,1.00,-1.288760,,,
,46,1.00,-1.199529,,,
,47,1.00,-1.181705,,,
,48,1.00,-1.162328,,,
,49,1.00,-1.142666,,,
,50,1.00,-1.105425,,,
,51,1.00,-1.096051,,,
,52,1.00,-1.084579,,,
,53,1.00,-1.065221,,,
,54,1.00,-1.027618,,,
,55,1.00,-1.016565,,,
,56,1.00,-0.988911,,,
,57,1.00,-0.988488,,,
,58,1.00,-0.965943,,,
,59,1.00,-0.952620,,,
,60,1.00,-0.950869,,,
,61,1.00,-0.936950,,,
,62,1.00,-0.925011,,,
,63,1.00,-0.913454,,,
,64,1.00,-0.912924,,,
,65,1.00,-0.861794,,,
,66,1.00,-0.849856,,,
,67,1.00,-0.842445,,,
,68,1.00,-0.823097,,,
,69,1.00,-0.789663,,,
,70,1.00,-0.780233,,,
,71,1.00,-0.773777,,,
,72,1.00,-0.761969,,,
,73,1.00,-0.758128,,,
,74,1.00,-0.754739,,,
,75,1.00,-0.729752,,,
,76,1.00,-0.727632,,,
,77,1.00,-0.724195,,,
,78,1.00,-0.711735,,,
,79,1.00,-0.677342,,,
,80,1.00,-0.666479,,,
,81,1.00,-0.665135,,,
,82,1.00,-0.657360,,,
,83,1.00,-0.650857,,,
,84,1.00,-0.642462,,,
,85,1.00,-0.634968,,,
,86,1.00,-0.626490,,,
,87,1.00,-0.609154,,,
,88,1.00,-0.605978,,,
,89,1.00,-0.601940,,,
,90,1.00,-0.598676,,,
,91,1.00,-0.595058,,,
,92,1.00,-0.591159,,,
,93,1.00,-0.587885,,,
,94,1.00,-0.583514,,,
,95,1.00,-0.581103,,,
,96,1.00,-0.570863,,,
,97,1.00,-0.564457,,,
,98,1.00,-0.560268,,,
,99,1.00,-0.557894,,,
,100,1.00,-0.546889,,,
,101,1.00,-0.545174,,,
,102,1.00,-0.543987,,,
,103,1.00,-0.536188,,,
,104,1.00,-0.535764,,,
,105,1.00,-0.531058,,,
,106,1.00,-0.526748,,,
,107,1.00,-0.522707,,,
,108,1.00,-0.521028,,,
,109,1.00,-0.514446,,,
,110,1.00,-0.513033,,,
,111,1.00,-0.508734,,,
,112,1.00,-0.503535,,,
,113,1.00,-0.499752,,,
,114,1.00,-0.497178,,,
,115,1.00,-0.488639,,,
,116,1.00,-0.485358,,,
,117,1.00,-0.482057,,,
,118,1.00,-0.478495,,,
,119,1.00,-0.470830,,,
,120,1.00,-0.467425,,,
,121,1.00,-0.461476,,,
,122,1.00,-0.459417,,,
,123,1.00,-0.455713,,,
,124,1.00,-0.449878,,,
,125,1.00,-0.445748,,,
,126,1.00,-0.443568,,,
,127,1.00,-0.441914,,,
,128,1.00,-0.440725,,,
,129,1.00,-0.438135,,,
,130,1.00,-0.434939,,,
,131,1.00,-0.432938,,,
,132,1.00,-0.428541,,,
,133,1.00,-0.423010,,,
,134,1.00,-0.417393,,,
,135,1.00,-0.415940,,,
,136,1.00,-0.406419,,,
,137,1.00,-0.396010,,,
,138,1.00,-0.348087,,,
,139,1.00,-0.334388,,,
,140,1.00,-0.318283,,,
,141,1.00,-0.307530,,,
,142,1.00,-0.299730,,,
,143,1.00,-0.289312,,,
,144,1.00,-0.278625,,,
,145,1.00,-0.276701,,,
,146,1.00,-0.273395,,,
,147,1.00,-0.273081,,,
,148,1.00,-0.270544,,,
,149,1.00,-0.265984,,,
,150,1.00,-0.255288,,,
,151,1.00,-0.004897,,,
,152,0.00,0.112785,,,
,153,0.00,0.249638,,,
,154,0.00,0.255548,,,
,155,0.00,0.262492,,,
,156,0.00,0.267506,,,
,157,0.00,0.314852,,,
,158,0.00,0.318417,,,
,159,0.00,0.320858,,,
,160,0.00,0.341001,,,
,161,0.00,0.354536,,,
,162,0.00,0.469956,,,
,163,0.00,0.482669,,,
,164,0.00,0.508748,,,
,165,0.00,0.525354,,,
,166,0.00,0.538029,,,
,167,0.00,0.549134,,,
,168,0.00,0.552948,,,
,169,0.00,0.557279,,,
,170,0.00,0.564975,,,
,171,0.00,0.572773,,,
,172,0.00,0.586752,,,
,173,0.00,0.592538,,,
,174,0.00,0.595011,,,
,175,0.00,0.603425,,,
,176,0.00,0.609272,,,
,177,0.00,0.613346,,,
,178,0.00,0.619046,,,
,179,0.00,0.624042,,,
,180,0.00,0.628845,,,
,181,0.00,0.630852,,,
,182,0.00,0.638503,,,
,183,0.00,0.640761,,,
,184,0.00,0.644694,,,
,185,0.00,0.652610,,,
,186,0.00,0.663512,,,
,187,0.00,0.666200,,,
,188,0.00,0.669254,,,
,189,0.00,0.676997,,,
,190,0.00,0.685956,,,
,191,0.00,0.691275,,,
,192,0.00,0.696212,,,
,193,0.00,0.698715,,,
,194,0.00,0.701359,,,
,195,0.00,0.705464,,,
,196,0.00,0.708616,,,
,197,0.00,0.711549,,,
,198,0.00,0.714976,,,
,199,0.00,0.717221,,,
,200,0.00,0.719372,,,
,201,0.00,0.722569,,,
,202,0.00,0.723478,,,
,203,0.00,0.727443,,,
,204,0.00,0.731042,,,
,205,0.00,0.734815,,,
,206,0.00,0.740346,,,
,207,0.00,0.741077,,,
,208,0.00,0.744640,,,
,209,0.00,0.748443,,,
,210,0.00,0.748864,,,
,211,0.00,0.758805,,,
,212,0.00,0.759661,,,
,213,0.00,0.760707,,,
,214,0.00,0.764952,,,
,215,0.00,0.771316,,,
,216,0.00,0.773775,,,
,217,0.00,0.773959,,,
,218,0.00,0.775753,,,
,219,0.00,0.781317,,,
,220,0.00,0.787149,,,
,221,0.00,0.797515,,,
,222,0.00,0.800483,,,
,223,0.00,0.804464,,,
,224,0.00,0.807271,,,
,225,0.00,0.810938,,,
,226,0.00,0.833230,,,
,227,0.00,0.863210,,,
,228,0.00,0.874718,,,
,229,0.00,0.879921,,,
,230,0.00,0.884911,,,
,231,0.00,0.891065,,,
,232,0.00,0.901450,,,
,233,0.00,0.903090,,,
,234,0.00,0.905142,,,
,235,0.00,0.908426,,,
,236,0.00,0.922995,,,
,237,0.00,0.927125,,,
,238,0.00,0.952267,,,
,239,0.00,0.989169,,,
,240,0.00,1.005221,,,
,241,0.00,1.036102,,,
,242,0.00,1.063411,,,
,243,0.00,1.077978,,,
,244,0.00,1.086266,,,
,245,0.00,1.091974,,,
,246,0.00,1.131388,,,
,247,0.00,1.143817,,,
